Round,Reward
1,0
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
2,-0.300112
2,-0.200001
2,-0.300026
2,-0.200168
2,-0.300024
2,-0.200169
2,-0.300011
2,-0.200001
2,-0.300033
2,-0.300019
2,-0.200151
2,0.299988
2,-0.300019
2,-0.200001
2,-0.300019
2,-0.300033
2,-0.300035
2,0.399827
2,-0.300019
2,-0.200001
2,-0.300169
2,-0.300034
2,-0.300031
2,-0.300024
2,-0.300019
2,-0.300021
2,-0.300023
2,-0.300019
2,-0.300033
2,-0.30003
2,-0.300031
2,-0.300112
2,-0.300028
2,-0.300019
2,-0.300024
2,-0.300157
2,-0.300019
2,-0.300035
2,-0.300112
2,-0.200142
2,-0.200166
2,-0.200001
2,-0.300024
2,-0.300019
2,-0.300023
2,-0.200001
2,-0.300028
2,-0.300027
2,-0.300027
2,-0.300112
2,-0.200158
2,-0.300033
2,-0.30002
2,-0.300034
2,-0.300027
2,-0.300019
2,-0.300022
2,-0.30002
2,-0.200139
2,-0.300033
2,-0.300019
2,-0.200001
2,-0.200146
2,-0.300022
2,-0.300019
2,-0.300023
2,0.299988
2,-0.300112
2,-0.300019
2,-0.300154
2,-0.300023
2,-0.300112
2,-0.300011
2,-0.300023
2,-0.300024
2,-0.300035
2,-0.200001
2,-0.300019
2,-0.300023
2,-0.300026
2,-0.300026
2,-0.200001
2,-0.300024
2,-0.300112
2,-0.300026
2,-0.200161
2,-0.200134
2,-0.300029
2,0
