Round,ClusterID,MemberCount,ExpectedMembers,ReceivedMembers,AggregationCompletion,AvgMembersPerCluster,TotalClusters,UnclusteredNodes,AvgDistToCH,DeadlineHit
1,3,8,8,8,1,4.28571,14,26,63.4005,1
1,6,9,9,9,1,4.28571,14,26,63.4005,1
1,12,3,3,3,1,4.28571,14,26,63.4005,1
1,20,9,9,9,1,4.28571,14,26,63.4005,1
1,23,5,5,5,1,4.28571,14,26,63.4005,1
1,39,0,0,0,1,4.28571,14,26,63.4005,0
1,44,5,5,5,1,4.28571,14,26,63.4005,1
1,45,7,7,7,1,4.28571,14,26,63.4005,1
1,56,2,2,2,1,4.28571,14,26,63.4005,1
1,65,4,4,4,1,4.28571,14,26,63.4005,1
1,70,1,1,1,1,4.28571,14,26,63.4005,1
1,78,0,0,0,1,4.28571,14,26,63.4005,0
1,97,3,3,3,1,4.28571,14,26,63.4005,1
1,98,4,4,4,1,4.28571,14,26,63.4005,1
2,4,10,10,10,1,5.66667,12,20,67.925,1
2,8,10,10,10,1,5.66667,12,20,67.925,1
2,19,9,9,9,1,5.66667,12,20,67.925,1
2,35,1,1,1,1,5.66667,12,20,67.925,1
2,42,11,11,11,1,5.66667,12,20,67.925,1
2,49,3,3,3,1,5.66667,12,20,67.925,1
2,59,9,9,9,1,5.66667,12,20,67.925,1
2,69,4,4,4,1,5.66667,12,20,67.925,1
2,73,8,8,8,1,5.66667,12,20,67.925,1
2,79,1,1,1,1,5.66667,12,20,67.925,1
2,82,0,0,0,1,5.66667,12,20,67.925,0
2,91,2,2,2,1,5.66667,12,20,67.925,1
