Time,X,Y,Z,Event
35,250,250,30,ENTER
48.8,324.052,133.552,30,WAYPOINT
48.8,439.059,114.789,0,CH_13
78.7235,346.161,259.076,0,CH_23
94.8668,172.78,334.873,0,CH_7
103.3,211.244,301.334,30,WAYPOINT
103.3,174.449,381.617,0,CH_83
136.864,82.6771,326.149,0,CH_75
203.147,-100,250,0,BASE
238.147,250,250,30,ENTER
248.164,349.538,261.179,30,WAYPOINT
248.164,269.408,423.155,0,CH_9
259.664,360.162,466.279,0,CH_1
291.832,198.384,467.77,0,CH_8
311.62,151.166,499.52,0,CH_3
347.801,335.234,456.981,0,CH_15
351.109,400.372,357.985,0,CH_20
415.72,-100,250,0,BASE
